year,question,pollname,state,region,subregion,answer,percent,dem,rep
2012,Vote by Gender,SEX,NC,South,South Atlantic,Men,44,45,54
2012,Vote by Gender,SEX,NC,South,South Atlantic,Women,56,51,49
2012,Vote by Age,AGE,NC,South,South Atlantic,18-29,16,67,32
2012,Vote by Age,AGE,NC,South,South Atlantic,30-44,25,51,48
2012,Vote by Age,AGE,NC,South,South Atlantic,45-64,39,47,53
2012,Vote by Age,AGE,NC,South,South Atlantic,65 and Older,21,35,64
2012,Vote by Age,AGE65,NC,South,South Atlantic,18-24,9,67,31
2012,Vote by Age,AGE65,NC,South,South Atlantic,25-29,6,66,33
2012,Vote by Age,AGE65,NC,South,South Atlantic,30-39,15,58,41
2012,Vote by Age,AGE65,NC,South,South Atlantic,40-49,18,43,57
2012,Vote by Age,AGE65,NC,South,South Atlantic,50-64,30,47,52
2012,Vote by Age,AGE65,NC,South,South Atlantic,65 and Older,21,35,64
2012,Vote by Race,RACE,NC,South,South Atlantic,White,70,31,68
2012,Vote by Race,RACE,NC,South,South Atlantic,African-American,23,96,4
2012,Vote by Race,RACE,NC,South,South Atlantic,Latino,4,68,31
2012,Vote by Race,RACE,NC,South,South Atlantic,Asian,1,N/A,N/A
2012,Vote by Race,RACE,NC,South,South Atlantic,Other,2,52,43
2012,Vote by Gender and Race,SEXBYRACE,NC,South,South Atlantic,White Men,31,30,68
2012,Vote by Gender and Race,SEXBYRACE,NC,South,South Atlantic,White Women,39,33,67
2012,Vote by Gender and Race,SEXBYRACE,NC,South,South Atlantic,Black Men,9,92,8
2012,Vote by Gender and Race,SEXBYRACE,NC,South,South Atlantic,Black Women,14,99,1
2012,Vote by Gender and Race,SEXBYRACE,NC,South,South Atlantic,Latino Men,1,N/A,N/A
2012,Vote by Gender and Race,SEXBYRACE,NC,South,South Atlantic,Latino Women,2,68,32
2012,Vote by Gender and Race,SEXBYRACE,NC,South,South Atlantic,All Others,3,53,44
2012,Vote by Ideology,PHIL3,NC,South,South Atlantic,Liberal,22,85,14
2012,Vote by Ideology,PHIL3,NC,South,South Atlantic,Moderate,38,57,42
2012,Vote by Ideology,PHIL3,NC,South,South Atlantic,Conservative,40,17,82
2012,Vote by Party ID,PARTY,NC,South,South Atlantic,Democratic,39,91,8
2012,Vote by Party ID,PARTY,NC,South,South Atlantic,Republican,33,4,96
2012,Vote by Party ID,PARTY,NC,South,South Atlantic,Independent,29,42,57
2012,Vote by Education,EDUC10,NC,South,South Atlantic,No High School,5,57,40
2012,Vote by Education,EDUC10,NC,South,South Atlantic,High School Graduate,23,47,52
2012,Vote by Education,EDUC10,NC,South,South Atlantic,Some College,29,46,54
2012,Vote by Education,EDUC10,NC,South,South Atlantic,College Graduate,28,50,49
2012,Vote by Education,EDUC10,NC,South,South Atlantic,Postgraduate,15,51,48
2012,Are You a College Graduate?,EDUCCOLL,NC,South,South Atlantic,Yes,43,50,49
2012,Are You a College Graduate?,EDUCCOLL,NC,South,South Atlantic,No,57,47,52
2012,Did You Attend College?,EDUCHS,NC,South,South Atlantic,Yes,72,48,51
